Date,Close,High,Low,Open,Volume
02-01-2024,15.09332275390625,15.164982376544078,14.770853597785944,14.860428553208273,2629300
03-01-2024,15.039575576782228,15.272468024269765,14.851468035657872,14.932085309211187,2946500
04-01-2024,15.102277755737305,15.22320366794693,15.01270281611908,15.111235420549114,3172800
05-01-2024,15.102277755737305,15.294863277941536,15.00374515130727,15.030618145742697,1959800
08-01-2024,15.209769248962402,15.209769248962402,14.932088420258196,14.932088420258196,2178700
09-01-2024,14.797719955444336,15.105856365339106,14.788762293072468,15.04852766785903,1379400
10-01-2024,14.743982315063477,14.869387950654184,14.690238018953384,14.797728319673938,1838600
11-01-2024,14.78876781463623,14.824596769001468,14.582746628660994,14.645448580175191,2068100
12-01-2024,14.743982315063477,14.985834210309443,14.663366725148522,14.967918875439292,1487200
16-01-2024,14.591704368591309,14.694714962102845,14.546916039781914,14.609617991615018,2098400
17-01-2024,14.475255966186523,14.5110866281053,14.282670429623089,14.367767397430184,3851700
18-01-2024,14.475255966186523,14.564830912483467,14.336414714001258,14.564830912483467,2038600
19-01-2024,14.779809951782228,14.788767617379069,14.421511870408722,14.582746434151804,2264300
22-01-2024,14.869383811950684,14.95447906614818,14.779808871032326,14.887299141834331,2488100
23-01-2024,14.654404640197754,15.00374502235655,14.609616316523644,14.976872028152084,2340500
24-01-2024,14.493172645568848,14.85147075559215,14.475257312942643,14.815641798839897,1916200
25-01-2024,14.699193000793455,14.739501642636586,14.515565123174772,14.717108332390415,1730200
26-01-2024,14.797719955444336,14.887294870663611,14.726060364968792,14.7798046307006,1301300
29-01-2024,14.958961486816406,14.981354799013696,14.699194281527282,14.761896239079771,1898800
30-01-2024,14.832950592041016,14.976959687752183,14.832950592041016,14.859952941258298,1470700
31-01-2024,14.454925537109377,14.85095138814249,14.445924754503652,14.832949822931043,2478300
01-02-2024,14.751946449279783,14.760947233077164,14.387423289105843,14.463928234659583,2059100
02-02-2024,14.60793685913086,14.73394611140517,14.44592618958097,14.56293465835541,1554400
05-02-2024,14.391921997070312,14.517929522042085,14.301916744713605,14.409923562558788,1616300
06-02-2024,14.391921997070312,14.540432337264562,14.319917451840192,14.346918941711015,1414900
07-02-2024,14.346918106079102,14.436925069917155,14.22991137066659,14.427924287697168,1568300
08-02-2024,14.454925537109377,14.4639263197151,14.274914176804266,14.292915742015714,986900
09-02-2024,14.508930206298828,14.517929272164402,14.301916498553862,14.517929272164402,1337600
12-02-2024,14.5989351272583,14.679940456770996,14.53593136357594,14.571934495236608,1243200
13-02-2024,14.085904121398926,14.247914798864151,13.928394694265512,14.157908676191916,1668500
14-02-2024,14.211910247802734,14.373920899349,14.05890037875612,14.202909465303083,2686800
15-02-2024,14.55393123626709,14.55393123626709,14.292914570626085,14.346917545110816,2256700
16-02-2024,14.337920188903809,14.472028944320773,14.23891328735096,14.355920897501264,2240500
20-02-2024,14.319917678833008,14.477427087544488,14.09490325683158,14.18490936897691,2467000
21-02-2024,14.580933570861816,14.652938109028293,14.301915341695372,14.301915341695372,2175800
22-02-2024,14.643938064575195,14.67093869479501,14.25691300867006,14.562932740468367,3494900
23-02-2024,14.625938415527344,15.003962738628392,14.616937632033997,14.64393998251404,2837000
26-02-2024,14.382925987243652,14.670944263741877,14.27491913355682,14.625942051810656,2702800
27-02-2024,14.400922775268556,14.526930300200547,14.301916740198862,14.44592497225176,2706200
28-02-2024,14.527565002441406,14.713003969824364,14.283328671387777,14.301420698778964,2470600
29-02-2024,14.55470085144043,14.717525622736662,14.455196441125969,14.663249548737628,2854900
01-03-2024,14.780847549438477,14.862259943710525,14.572794419787964,14.636114787477196,1889900
04-03-2024,15.088403701782228,15.10649572668855,14.717525817954884,14.726571830408046,2642300
05-03-2024,14.889398574829102,15.106499476899693,14.88035428548114,14.970810981767851,1441300
06-03-2024,14.880348205566406,15.097447293582276,14.839642018729045,15.034126941913089,1103500
07-03-2024,14.934624671936035,15.043173368719035,14.821552106332655,15.0160370571985,1334300
08-03-2024,15.260273933410645,15.27836423230944,14.997944757848598,15.070311129494955,1619200
11-03-2024,15.178861618041992,15.364300554055852,15.151723581545914,15.205997929187667,2137400
12-03-2024,15.151725769042969,15.364302772243242,15.088405400094116,15.151725769042969,2091600
13-03-2024,14.91653823852539,15.23314188595756,14.84417183842813,15.097455101444082,2550800
14-03-2024,14.744664192199709,14.934627029583998,14.64516149199908,14.826076590314305,2570400
15-03-2024,14.636115074157717,14.807985879359686,14.527564637885243,14.618023047220529,3619800
18-03-2024,14.89844036102295,14.979852744855076,14.61530691017695,14.65420493487697,1382100
19-03-2024,14.934624671936035,14.961762708807,14.807983950572387,14.85321228667357,1123300
20-03-2024,14.943668365478516,14.96628253002016,14.762751598445057,14.83511796018841,1167200
21-03-2024,15.142681121826172,15.196955482200591,14.961766012127836,14.99794834392718,1458500
22-03-2024,14.90748691558838,15.22409045030564,14.89391875957279,15.196952412924004,953600
25-03-2024,14.70847988128662,15.006991392377197,14.70847988128662,14.997945379877429,1053300
26-03-2024,14.69943618774414,14.83060080165742,14.69943618774414,14.771802573808236,1028800
27-03-2024,15.017602920532228,15.017602920532228,14.808520493080712,14.85397259160968,1418600
28-03-2024,14.890335083007812,15.085782242895316,14.753977042917745,15.04487465747964,1900200
